inc_inv_mean_$, gov_pen_supp_dva_cnt, occ_clerical_admin_%, inc_own_unincorp_bus_mdn_age_yr, gov_fml_tax_bnft_b_cnt, inc_super_main_src_%, gov_fml_tax_bnft_tot_cnt, lga_code16, inc_over15_wkly_1000_1999_%, inc_excl_gov_pen_mdn_tot_$, inc_earner_excl_gov_pen_mdn_age_yr, hg_edu_comp_yr_9_%, post_sch_adv_dplm_or_dplm_%, year, inc_super_mean_$, inc_super_mdn_$, inc_inv_mdn_$, gov_allo_ft_stu_appren_cnt, post_sch_grad_dplm_grad_cert_%, inc_mdn_empl_inc_$, lbr_stat_unempl_cnt, inc_over15_wkly_2000_2999_%, taxpayers_prv_hlth_insurance_cnt, hg_edu_no_sch_%, gcg_mdn_$, gov_pen_prnt_sngl_cnt, gov_allo_youth_cnt, inc_tot_excl_gov_pen_top_2nd_quartile_%, inc_own_unincorp_bus_main_src_%, inc_tot_excl_gov_pen_p80_p20_ratio, post_sch_cert_%, inc_excl_gov_pen_tot_, yth_engm_wrk_ft_not_stu_%, inc_other_excl_gov_pen_mdn_age_yr, lga_name16, yth_engm_wrk_pt_stu_pt_%, inc_own_unincorp_bus_mdn_$, occ_not_stated_%, gov_pen_srv_dva_cnt, persons_dsbl_prv_dwl_cnt, inc_other_excl_gov_pen_mdn_$, inc_over15_wkly_negative_%, inc_employee_earner_cnt, higher_edu_help_loan_cnt, inc_over15_wkly_over_3k_%, yth_engm_15_19_yrs_tot_cnt, inc_over15_wkly_1_499_%, persons_need_assist_core_activities_%, inc_own_unincorp_bus_mean_$, inc_tot_excl_gov_pen_top_quartile_%, lbr_stat_labour_force_cnt, hg_edu_comp_yr_12_%, inc_earner_excl_gov_pen_tot_cnt, lbr_stat_particip_rate_%, inc_mean_empl_inc_$, occ_manager_%, gov_fml_tax_bnft_a_cnt, inc_inv_main_src_%, gov_pen_newstart_cnt, inc_excl_gov_pen_mean_tot_$, inc_tot_excl_gov_pen_top_5percent_%, inc_super_mdn_age_yr, persons_dsbl_prv_dwl_%, hg_edu_comp_yr_11_%, yth_engm_wrk_pt_stu_ft_%, yth_engm_wrk_ft_stu_pt_%, hg_edu_comp_yr_10_%, post_sch_postgrad_%, post_sch_not_stated_%, inc_super_earner_cnt, occ_tech_trd_worker_%, inc_other_excl_gov_pen_cnt, gcg_mean_$, yth_engm_not_wrk_stu_ft_%, inc_other_excl_gov_pen_mean_$, inc_tot_excl_gov_pen_p20_p50_ratio, occ_professional_%, occ_sales_worker_%, gcg_amount_, inc_tot_excl_gov_pen_3rd_quartile_%, gov_pen_carer_cnt, inc_other_excl_gov_pen_tot_, lbr_stat_unempl_rate_%, post_sch_bachelor_%, gov_pen_age_dva_cnt, yth_engm_fully_engaged_%, inc_super_tot_, inc_over15_wkly_500_999_%, yth_engm_wrk_ft_stu_ft_%, occ_comm_peronal_srv_%, gcg_persons_cnt, gov_pen_dsbl_supp_cnt, inc_tot_excl_gov_pen_top_1percent_%, gov_pen_age_pen_cntrlnk_cnt, inc_other_excl_gov_pen_main_src_%, inc_own_unincorp_bus_tot_, inc_tot_excl_gov_pen_p10_p50_ratio, inc_employee_earner_mdn_age_yr, inc_empl_main_src_%, inc_tot_excl_gov_pen_top_10percent_%, occ_labourer_%, post_sch_over_15_yrs_%, inc_tot_empl_inc_, inc_tot_excl_gov_pen_p80_p50_ratio, gov_pen_newstart_over365days_%, inc_tot_excl_gov_pen_gini_coef, inc_inv_earner_cnt, hg_edu_comp_yr_8_or_blw_%, inc_own_unincorop_bus_cnt, inc_inv_mdn_age_yr, inc_over15_wkly_zero_%, occ_mchnry_opr_drv_%, inc_tot_excl_gov_pen_lowest_quartile_%, inc_inv_tot_, inc_hshld_wkly_mdn_equvlsed_$
null,104,null,null,1652,null,2198,26700,18.8,null,null,8.2,null,2016,null,null,null,146,null,null,null,2.4,null,0.3,null,367,123,null,null,null,null,null,null,null,Wangaratta (R),null,null,null,178,null,null,0.5,null,null,1.3,null,32.8,5.7,null,null,null,37.1,null,null,null,null,2177,null,939,null,null,null,null,16.7,null,null,20.3,null,null,null,null,null,null,null,null,null,null,null,null,null,340,null,null,null,null,null,null,28,null,null,null,1232,null,4429,null,null,null,null,null,null,null,null,null,null,79,null,null,6.9,null,null,5.4,null,null,null,712
null,110,null,null,1972,null,2605,26730,19.8,null,null,8.1,null,2016,null,null,null,369,null,null,null,2.8,null,0.3,null,483,208,null,null,null,null,null,null,null,Warrnambool (C),null,null,null,163,null,null,0.3,null,null,1.6,null,32,5.5,null,null,null,41,null,null,null,null,2569,null,1212,null,null,null,null,17,null,null,17.2,null,null,null,null,null,null,null,null,null,null,null,null,null,331,null,null,null,6,null,null,28.1,null,null,null,1354,null,4428,null,null,null,null,null,null,null,null,null,null,76,null,null,6.5,null,null,5.5,null,null,null,763
null,116,null,null,2413,null,3026,26810,17.8,null,null,9.2,null,2016,null,null,null,211,null,null,null,3.2,null,0.4,null,546,232,null,null,null,null,null,null,null,Wellington (S),null,null,null,285,null,null,0.6,null,null,2.3,null,32.5,5.9,null,null,null,33.5,null,null,null,null,2995,null,1545,null,null,null,null,17.1,null,null,20.5,null,null,null,null,null,null,null,null,null,null,null,null,null,615,null,null,null,17,null,null,23.9,null,null,null,1927,null,6000,null,null,null,null,null,null,null,null,null,null,75,null,null,6.6,null,null,7.1,null,null,null,715
null,14,null,null,179,null,256,26890,18.3,null,null,8.9,null,2016,null,null,null,8,null,null,null,2.2,null,0.2,null,20,8,null,null,null,null,null,null,null,West Wimmera (S),null,null,null,null,null,null,1.2,null,null,1.6,null,34.6,5,null,null,null,32.6,null,null,null,null,256,null,103,null,null,null,null,20.1,null,null,21.7,null,null,null,null,null,null,null,null,null,null,null,null,null,39,null,null,null,null,null,null,27.1,null,null,null,175,null,653,null,null,null,null,null,null,null,null,null,null,76,null,null,7.9,null,null,5.9,null,null,null,673
null,352,null,null,5341,null,6915,26980,21.9,null,null,4.2,null,2016,null,null,null,2305,null,null,null,5.9,null,1.2,null,491,217,null,null,null,null,null,null,null,Whitehorse (C),null,null,null,623,null,null,0.5,null,null,3.7,null,27.6,4.7,null,null,null,67,null,null,null,null,6807,null,2596,null,null,null,null,9,null,null,8.8,null,null,null,null,null,null,null,null,null,null,null,null,null,793,null,null,null,14,null,null,21.2,null,null,null,3555,null,18017,null,null,null,null,null,null,null,null,null,null,73,null,null,4.4,null,null,13.1,null,null,null,915
null,155,null,null,13726,null,17023,27070,21.9,null,null,5.8,null,2016,null,null,null,2842,null,null,null,2.9,null,1.9,null,2202,673,null,null,null,null,null,null,null,Whittlesea (C),null,null,null,383,null,null,0.6,null,null,0.9,null,29.9,5.7,null,null,null,54.1,null,null,null,null,16822,null,6193,null,null,null,null,10.9,null,null,12.8,null,null,null,null,null,null,null,null,null,null,null,null,null,3290,null,null,null,5,null,null,25.1,null,null,null,6720,null,18221,null,null,null,null,null,null,null,null,null,null,74,null,null,7.8,null,null,11.2,null,null,null,807
null,104,null,null,2770,null,3437,27170,23.3,null,null,7.8,null,2016,null,null,null,321,null,null,null,3,null,0.6,null,714,249,null,null,null,null,null,null,null,Wodonga (C),null,null,null,332,null,null,0.4,null,null,1.1,null,28.5,5.8,null,null,null,39.9,null,null,null,null,3400,null,1448,null,null,null,null,14.9,null,null,23,null,null,null,null,null,null,null,null,null,null,null,null,null,548,null,null,null,11,null,null,28.4,null,null,null,1562,null,4241,null,null,null,null,null,null,null,null,null,null,79,null,null,5.3,null,null,6.4,null,null,null,801
null,157,null,null,16966,null,20623,27260,24.4,null,null,5.3,null,2016,null,null,null,2173,null,null,null,4.3,null,1.1,null,2710,817,null,null,null,null,null,null,null,Wyndham (C),null,null,null,400,null,null,0.7,null,null,1.6,null,24.1,3.9,null,null,null,58.2,null,null,null,null,20386,null,6368,null,null,null,null,10.5,null,null,13.1,null,null,null,null,null,null,null,null,null,null,null,null,null,2211,null,null,null,22,null,null,24.3,null,null,null,4463,null,11496,null,null,null,null,null,null,null,null,null,null,71,null,null,4.4,null,null,12.7,null,null,null,891
null,40,null,null,2293,null,2592,27350,29.9,null,null,2,null,2016,null,null,null,1687,null,null,null,9.1,null,1.2,null,562,190,null,null,null,null,null,null,null,Yarra (C),null,null,null,171,null,null,0.4,null,null,7.1,null,19.7,3.5,null,null,null,73.6,null,null,null,null,2557,null,2646,null,null,null,null,5.1,null,null,4.6,null,null,null,null,null,null,null,null,null,null,null,null,null,559,null,null,null,null,null,null,17.9,null,null,null,2773,null,5188,null,null,null,null,null,null,null,null,null,null,73,null,null,3.2,null,null,5.3,null,null,null,1371
null,257,null,null,8229,null,10644,27450,23.6,null,null,7.3,null,2016,null,null,null,1177,null,null,null,4.1,null,0.4,null,1354,384,null,null,null,null,null,null,null,Yarra Ranges (S),null,null,null,592,null,null,0.5,null,null,1.8,null,28.4,4.6,null,null,null,47.1,null,null,null,null,10424,null,3622,null,null,null,null,16.1,null,null,18,null,null,null,null,null,null,null,null,null,null,null,null,null,1077,null,null,null,9,null,null,25.8,null,null,null,4701,null,16198,null,null,null,null,null,null,null,null,null,null,72,null,null,4.4,null,null,8.1,null,null,null,878
